checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job
1 - 200 DM,36,repaid,car (new),12389,unknown,1 - 4 yrs,1,single male,none,4,unknown/none,37,none,for free,1,2,1,yes,yes,skilled employee
1 - 200 DM,24,delayed,business,4712,unknown,1 - 4 yrs,4,single male,none,2,building society savings,37,bank,own,2,1,1,yes,yes,mangement self-employed
1 - 200 DM,24,delayed,radio/tv,1553,101 - 500 DM,4 - 7 yrs,3,female,none,2,building society savings,23,none,rent,2,1,1,yes,yes,skilled employee
< 0 DM,12,repaid,car (new),1372,< 100 DM,4 - 7 yrs,2,divorced male,none,3,other,36,none,own,1,2,1,none,yes,skilled employee
unknown,24,critical,radio/tv,2578,> 1000 DM,> 7 yrs,2,single male,none,2,other,34,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,48,repaid,radio/tv,3979,unknown,4 - 7 yrs,4,single male,none,1,other,41,none,own,2,1,2,yes,yes,skilled employee
< 0 DM,48,repaid,radio/tv,6758,< 100 DM,1 - 4 yrs,3,female,none,2,other,31,none,own,1,2,1,yes,yes,skilled employee
< 0 DM,24,repaid,furniture,3234,< 100 DM,0 - 1 yrs,4,female,none,4,real estate,23,none,rent,1,2,1,yes,yes,unskilled resident
unknown,30,critical,radio/tv,5954,< 100 DM,4 - 7 yrs,3,single male,co-applicant,2,other,38,none,own,1,1,1,none,yes,skilled employee
unknown,24,repaid,car (used),5433,unknown,unemployed,2,female,none,4,building society savings,26,none,rent,1,1,1,yes,yes,mangement self-employed
< 0 DM,15,repaid,business,806,< 100 DM,1 - 4 yrs,4,female,none,4,building society savings,22,none,own,1,1,1,none,yes,unskilled resident
1 - 200 DM,9,repaid,radio/tv,1082,< 100 DM,> 7 yrs,4,single male,none,4,other,27,none,own,2,1,1,none,yes,unskilled resident
unknown,15,critical,furniture,2788,< 100 DM,4 - 7 yrs,2,female,co-applicant,3,other,24,bank,own,2,1,1,none,yes,skilled employee
1 - 200 DM,12,repaid,radio/tv,2930,< 100 DM,4 - 7 yrs,2,female,none,1,real estate,27,none,own,1,1,1,none,yes,skilled employee
unknown,24,critical,education,1927,unknown,1 - 4 yrs,3,female,none,2,other,33,none,own,2,1,1,yes,yes,skilled employee
1 - 200 DM,36,critical,car (new),2820,< 100 DM,0 - 1 yrs,4,divorced male,none,4,other,27,none,own,2,2,1,none,yes,skilled employee
unknown,24,repaid,retraining,937,< 100 DM,0 - 1 yrs,4,married male,none,3,other,27,none,own,2,1,1,none,yes,unskilled resident
1 - 200 DM,18,critical,car (new),1056,< 100 DM,> 7 yrs,3,single male,guarantor,3,real estate,30,bank,own,2,2,1,none,yes,skilled employee
1 - 200 DM,12,critical,car (new),3124,< 100 DM,0 - 1 yrs,1,single male,none,3,real estate,49,bank,own,2,1,2,none,yes,unskilled resident
unknown,9,repaid,furniture,1388,< 100 DM,1 - 4 yrs,4,female,none,2,real estate,26,none,rent,1,1,1,none,yes,skilled employee
1 - 200 DM,36,repaid,repairs,2384,< 100 DM,0 - 1 yrs,4,single male,none,1,unknown/none,33,none,rent,1,2,1,none,yes,unskilled resident
unknown,12,repaid,car (new),2133,unknown,> 7 yrs,4,female,none,4,unknown/none,52,none,for free,1,1,1,yes,yes,mangement self-employed
< 0 DM,18,repaid,furniture,2039,< 100 DM,1 - 4 yrs,1,female,none,4,real estate,20,bank,rent,1,2,1,none,yes,skilled employee
< 0 DM,9,critical,car (new),2799,< 100 DM,1 - 4 yrs,2,single male,none,2,real estate,36,none,rent,2,1,2,none,yes,skilled employee
< 0 DM,12,repaid,furniture,1289,< 100 DM,1 - 4 yrs,4,single male,guarantor,1,building society savings,21,none,own,1,1,1,none,yes,unskilled resident
< 0 DM,18,repaid,domestic appliances,1217,< 100 DM,1 - 4 yrs,4,married male,none,3,real estate,47,none,own,1,2,1,yes,yes,unskilled resident
< 0 DM,12,critical,furniture,2246,< 100 DM,> 7 yrs,3,single male,none,3,building society savings,60,none,own,2,2,1,none,yes,skilled employee
< 0 DM,12,critical,radio/tv,385,< 100 DM,4 - 7 yrs,4,female,none,3,real estate,58,none,own,4,1,1,yes,yes,unskilled resident
1 - 200 DM,24,delayed,car (new),1965,unknown,1 - 4 yrs,4,female,none,4,other,42,none,rent,2,1,1,yes,yes,skilled employee
unknown,21,repaid,business,1572,> 1000 DM,> 7 yrs,4,female,none,4,real estate,36,bank,own,1,1,1,none,yes,unskilled resident
1 - 200 DM,24,repaid,car (new),2718,< 100 DM,1 - 4 yrs,3,female,none,4,building society savings,20,none,rent,1,2,1,yes,yes,unskilled resident
< 0 DM,24,fully repaid this bank,others,1358,unknown,> 7 yrs,4,single male,none,3,other,40,stores,own,1,2,1,yes,yes,mangement self-employed
1 - 200 DM,6,fully repaid this bank,car (new),931,101 - 500 DM,0 - 1 yrs,1,female,none,1,building society savings,32,stores,own,1,2,1,none,yes,unskilled resident
< 0 DM,24,repaid,car (new),1442,< 100 DM,4 - 7 yrs,4,female,none,4,other,23,none,rent,2,2,1,none,yes,skilled employee
1 - 200 DM,24,fully repaid,business,4241,< 100 DM,1 - 4 yrs,1,single male,none,4,real estate,36,none,own,3,2,1,yes,yes,unskilled resident
unknown,18,critical,car (new),2775,< 100 DM,4 - 7 yrs,2,single male,none,2,building society savings,31,bank,own,2,2,1,none,yes,skilled employee
unknown,24,delayed,business,3863,< 100 DM,1 - 4 yrs,1,single male,none,2,unknown/none,32,none,for free,1,1,1,none,yes,skilled employee
1 - 200 DM,7,repaid,radio/tv,2329,< 100 DM,0 - 1 yrs,1,female,guarantor,1,real estate,45,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,9,repaid,furniture,918,< 100 DM,1 - 4 yrs,4,female,none,1,building society savings,30,none,own,1,2,1,none,yes,skilled employee
1 - 200 DM,24,fully repaid this bank,education,1837,< 100 DM,4 - 7 yrs,4,female,none,4,unknown/none,34,bank,for free,1,2,1,none,yes,unskilled resident
unknown,36,repaid,furniture,3349,< 100 DM,1 - 4 yrs,4,female,none,2,other,28,none,own,1,2,1,yes,yes,mangement self-employed
> 200 DM,10,repaid,furniture,1275,< 100 DM,0 - 1 yrs,4,female,none,2,building society savings,23,none,own,1,1,1,none,yes,skilled employee
< 0 DM,24,fully repaid this bank,furniture,2828,501 - 1000 DM,1 - 4 yrs,4,single male,none,4,real estate,22,stores,own,1,1,1,yes,yes,skilled employee
unknown,24,critical,business,4526,< 100 DM,1 - 4 yrs,3,single male,none,2,real estate,74,none,own,1,1,1,yes,yes,mangement self-employed
1 - 200 DM,36,repaid,radio/tv,2671,101 - 500 DM,1 - 4 yrs,4,female,co-applicant,4,unknown/none,50,none,for free,1,2,1,none,yes,skilled employee
unknown,18,repaid,radio/tv,2051,< 100 DM,0 - 1 yrs,4,single male,none,1,real estate,33,none,own,1,1,1,none,yes,skilled employee
unknown,15,repaid,car (used),1300,unknown,> 7 yrs,4,single male,none,4,unknown/none,45,bank,for free,1,1,2,none,yes,skilled employee
< 0 DM,12,repaid,domestic appliances,741,101 - 500 DM,unemployed,4,female,none,3,building society savings,22,none,own,1,2,1,none,yes,skilled employee
> 200 DM,10,repaid,car (new),1240,101 - 500 DM,> 7 yrs,1,female,none,4,unknown/none,48,none,for free,1,2,2,none,yes,unskilled resident
< 0 DM,21,repaid,radio/tv,3357,> 1000 DM,0 - 1 yrs,4,female,none,2,other,29,bank,own,1,1,1,none,yes,skilled employee
< 0 DM,24,fully repaid this bank,car (used),3632,< 100 DM,1 - 4 yrs,1,female,guarantor,4,other,22,bank,rent,1,1,1,none,no,skilled employee
unknown,18,delayed,furniture,1808,< 100 DM,4 - 7 yrs,4,female,none,1,real estate,22,none,own,1,2,1,none,yes,skilled employee
1 - 200 DM,48,fully repaid,business,12204,unknown,1 - 4 yrs,2,single male,none,2,other,48,bank,own,1,1,1,yes,yes,mangement self-employed
1 - 200 DM,60,delayed,radio/tv,9157,unknown,1 - 4 yrs,2,single male,none,2,unknown/none,27,none,for free,1,1,1,none,yes,mangement self-employed
< 0 DM,6,critical,car (new),3676,< 100 DM,1 - 4 yrs,1,single male,none,3,real estate,37,none,rent,3,1,2,none,yes,skilled employee
1 - 200 DM,30,repaid,furniture,3441,101 - 500 DM,1 - 4 yrs,2,female,co-applicant,4,other,21,none,rent,1,2,1,none,yes,skilled employee
unknown,12,repaid,car (new),640,< 100 DM,1 - 4 yrs,4,divorced male,none,2,real estate,49,none,own,1,1,1,none,yes,unskilled resident
1 - 200 DM,21,critical,business,3652,< 100 DM,4 - 7 yrs,2,single male,none,3,building society savings,27,none,own,2,1,1,none,yes,skilled employee
unknown,18,critical,car (new),1530,< 100 DM,1 - 4 yrs,3,single male,none,2,building society savings,32,bank,own,2,2,1,none,yes,skilled employee
unknown,48,repaid,business,3914,unknown,1 - 4 yrs,4,divorced male,none,2,real estate,38,bank,own,1,2,1,none,yes,skilled employee
< 0 DM,12,repaid,furniture,1858,< 100 DM,0 - 1 yrs,4,female,none,1,other,22,none,rent,1,1,1,none,yes,skilled employee
< 0 DM,18,repaid,radio/tv,2600,< 100 DM,1 - 4 yrs,4,single male,none,4,unknown/none,65,none,for free,2,2,1,none,yes,skilled employee
unknown,15,repaid,radio/tv,1979,unknown,> 7 yrs,4,single male,none,2,other,35,none,own,1,1,1,none,yes,skilled employee
> 200 DM,6,repaid,furniture,2116,< 100 DM,1 - 4 yrs,2,single male,none,2,real estate,41,none,own,1,1,1,yes,yes,skilled employee
1 - 200 DM,9,fully repaid this bank,car (new),1437,101 - 500 DM,4 - 7 yrs,2,single male,none,3,unknown/none,29,none,own,1,2,1,none,yes,skilled employee
unknown,42,critical,furniture,4042,501 - 1000 DM,1 - 4 yrs,4,single male,none,4,real estate,36,none,own,2,1,1,yes,yes,skilled employee
unknown,9,repaid,education,3832,unknown,> 7 yrs,1,single male,none,4,real estate,64,none,own,1,1,1,none,yes,unskilled resident
< 0 DM,24,repaid,radio/tv,3660,< 100 DM,1 - 4 yrs,2,female,none,4,other,28,none,own,1,1,1,none,yes,skilled employee
< 0 DM,18,fully repaid this bank,furniture,1553,< 100 DM,1 - 4 yrs,4,single male,none,3,other,44,bank,own,1,2,1,none,yes,skilled employee
1 - 200 DM,15,repaid,radio/tv,1444,unknown,0 - 1 yrs,4,single male,none,1,building society savings,23,none,own,1,1,1,none,yes,skilled employee
unknown,9,repaid,furniture,1980,< 100 DM,0 - 1 yrs,2,female,co-applicant,2,other,19,none,rent,2,2,1,none,yes,skilled employee
1 - 200 DM,24,repaid,car (new),1355,< 100 DM,0 - 1 yrs,3,female,none,4,other,25,none,own,1,2,1,yes,yes,unskilled resident
unknown,12,repaid,education,1393,< 100 DM,> 7 yrs,4,single male,none,4,building society savings,47,bank,own,3,1,2,yes,yes,skilled employee
unknown,24,repaid,radio/tv,1376,501 - 1000 DM,4 - 7 yrs,4,female,none,1,other,28,none,own,1,1,1,none,yes,skilled employee
unknown,60,delayed,radio/tv,15653,< 100 DM,4 - 7 yrs,2,single male,none,4,other,21,none,own,2,1,1,yes,yes,skilled employee
unknown,12,repaid,radio/tv,1493,< 100 DM,0 - 1 yrs,4,female,none,3,other,34,none,own,1,1,2,none,yes,skilled employee
< 0 DM,42,delayed,radio/tv,4370,< 100 DM,4 - 7 yrs,3,single male,none,2,building society savings,26,bank,own,2,2,2,yes,yes,skilled employee
< 0 DM,18,repaid,education,750,< 100 DM,unemployed,4,female,none,1,real estate,27,none,own,1,2,1,none,yes,unemployed non-resident
1 - 200 DM,15,repaid,repairs,1308,< 100 DM,> 7 yrs,4,single male,none,4,other,38,none,own,2,1,1,none,yes,unskilled resident
unknown,15,repaid,education,4623,101 - 500 DM,1 - 4 yrs,3,single male,none,2,building society savings,40,none,own,1,2,1,yes,yes,mangement self-employed
unknown,24,critical,radio/tv,1851,< 100 DM,4 - 7 yrs,4,married male,guarantor,2,other,33,none,own,2,1,1,yes,yes,skilled employee
< 0 DM,18,critical,radio/tv,1880,< 100 DM,4 - 7 yrs,4,married male,none,1,building society savings,32,none,own,2,1,1,yes,yes,mangement self-employed
unknown,36,delayed,business,7980,unknown,0 - 1 yrs,4,single male,none,4,other,27,none,rent,2,2,1,yes,yes,skilled employee
< 0 DM,30,fully repaid,furniture,4583,< 100 DM,1 - 4 yrs,2,divorced male,guarantor,2,real estate,32,none,own,2,1,1,none,yes,skilled employee
unknown,12,repaid,car (new),1386,501 - 1000 DM,1 - 4 yrs,2,female,none,2,building society savings,26,none,own,1,2,1,none,yes,skilled employee
> 200 DM,24,repaid,car (new),947,< 100 DM,4 - 7 yrs,4,single male,none,3,unknown/none,38,bank,for free,1,2,2,none,yes,skilled employee
< 0 DM,12,repaid,education,684,< 100 DM,1 - 4 yrs,4,single male,none,4,other,40,none,rent,1,2,2,none,yes,unskilled resident
< 0 DM,48,repaid,education,7476,< 100 DM,4 - 7 yrs,4,single male,none,1,unknown/none,50,none,for free,1,1,1,yes,yes,mangement self-employed
1 - 200 DM,12,repaid,furniture,1922,< 100 DM,1 - 4 yrs,4,single male,none,2,building society savings,37,none,own,1,2,1,none,yes,unskilled resident
< 0 DM,24,repaid,car (new),2303,< 100 DM,> 7 yrs,4,single male,co-applicant,1,real estate,45,none,own,1,2,1,none,yes,skilled employee
1 - 200 DM,36,delayed,car (new),8086,101 - 500 DM,> 7 yrs,2,single male,none,4,other,42,none,own,4,2,1,yes,yes,mangement self-employed
unknown,24,critical,car (used),2346,< 100 DM,4 - 7 yrs,4,single male,none,3,other,35,none,own,2,1,1,yes,yes,skilled employee
< 0 DM,14,repaid,car (new),3973,< 100 DM,unemployed,1,single male,none,4,unknown/none,22,none,for free,1,1,1,none,yes,skilled employee
1 - 200 DM,12,repaid,car (new),888,< 100 DM,> 7 yrs,4,single male,none,4,other,41,bank,own,1,2,2,none,yes,unskilled resident
unknown,48,repaid,radio/tv,10222,unknown,4 - 7 yrs,4,single male,none,3,other,37,stores,own,1,1,1,yes,yes,skilled employee
1 - 200 DM,30,fully repaid,business,4221,< 100 DM,1 - 4 yrs,2,female,none,1,other,28,none,own,2,1,1,none,yes,skilled employee
1 - 200 DM,18,critical,furniture,6361,< 100 DM,> 7 yrs,2,single male,none,1,unknown/none,41,none,own,1,1,1,yes,yes,skilled employee
> 200 DM,12,repaid,radio/tv,1297,< 100 DM,1 - 4 yrs,3,married male,none,4,real estate,23,none,rent,1,1,1,none,yes,skilled employee
< 0 DM,12,repaid,car (new),900,unknown,1 - 4 yrs,4,married male,none,2,other,23,none,own,1,2,1,none,yes,skilled employee
unknown,21,repaid,furniture,2241,< 100 DM,> 7 yrs,4,single male,none,2,real estate,50,none,own,2,1,1,none,yes,skilled employee
1 - 200 DM,6,delayed,furniture,1050,< 100 DM,unemployed,4,single male,none,1,building society savings,35,stores,own,2,1,1,yes,yes,mangement self-employed
> 200 DM,6,critical,education,1047,< 100 DM,1 - 4 yrs,2,female,none,4,building society savings,50,none,own,1,1,1,none,yes,unskilled resident
unknown,24,critical,others,6314,< 100 DM,unemployed,4,single male,co-applicant,2,unknown/none,27,bank,own,2,1,1,yes,yes,mangement self-employed
1 - 200 DM,30,fully repaid this bank,furniture,3496,> 1000 DM,1 - 4 yrs,4,single male,none,2,other,34,stores,own,1,1,2,yes,yes,skilled employee
unknown,48,fully repaid this bank,business,3609,< 100 DM,1 - 4 yrs,1,female,none,1,real estate,27,stores,own,1,1,1,none,yes,skilled employee
< 0 DM,12,critical,car (new),4843,< 100 DM,> 7 yrs,3,single male,co-applicant,4,building society savings,43,none,rent,2,2,1,yes,yes,skilled employee
> 200 DM,30,critical,radio/tv,3017,< 100 DM,> 7 yrs,4,single male,none,4,building society savings,47,none,own,1,1,1,none,yes,skilled employee
unknown,24,critical,business,4139,101 - 500 DM,1 - 4 yrs,3,single male,none,3,building society savings,27,none,own,2,1,1,yes,yes,unskilled resident
unknown,36,repaid,business,5742,101 - 500 DM,4 - 7 yrs,2,single male,none,2,other,31,none,own,2,1,1,yes,yes,skilled employee
unknown,60,repaid,car (new),10366,< 100 DM,> 7 yrs,2,single male,none,4,building society savings,42,none,own,1,1,1,yes,yes,mangement self-employed
unknown,6,critical,car (new),2080,501 - 1000 DM,1 - 4 yrs,1,married male,none,2,other,24,none,own,1,1,1,none,yes,skilled employee
unknown,21,delayed,business,2580,501 - 1000 DM,0 - 1 yrs,4,single male,none,2,real estate,41,bank,own,1,2,2,none,yes,unskilled resident
unknown,30,critical,radio/tv,4530,< 100 DM,4 - 7 yrs,4,female,none,4,other,26,none,rent,1,1,1,yes,yes,mangement self-employed
unknown,24,critical,furniture,5150,< 100 DM,> 7 yrs,4,single male,none,4,other,33,none,own,1,1,1,yes,yes,skilled employee
1 - 200 DM,72,repaid,radio/tv,5595,101 - 500 DM,1 - 4 yrs,2,married male,none,2,other,24,none,own,1,2,1,none,yes,skilled employee
< 0 DM,24,repaid,radio/tv,2384,< 100 DM,> 7 yrs,4,single male,none,4,real estate,64,bank,rent,1,1,1,none,yes,unskilled resident
unknown,18,repaid,radio/tv,1453,< 100 DM,0 - 1 yrs,3,female,none,1,real estate,26,none,own,1,1,1,none,yes,skilled employee
unknown,6,repaid,education,1538,< 100 DM,0 - 1 yrs,1,female,none,2,unknown/none,56,none,own,1,1,1,none,yes,skilled employee
unknown,12,repaid,radio/tv,2279,unknown,1 - 4 yrs,4,single male,none,4,unknown/none,37,none,for free,1,1,1,yes,yes,skilled employee
unknown,15,delayed,radio/tv,1478,< 100 DM,1 - 4 yrs,4,married male,none,3,real estate,33,bank,own,2,1,1,none,yes,skilled employee
unknown,24,critical,radio/tv,5103,< 100 DM,0 - 1 yrs,3,married male,none,3,unknown/none,47,none,for free,3,1,1,yes,yes,skilled employee
1 - 200 DM,36,delayed,business,9857,101 - 500 DM,4 - 7 yrs,1,single male,none,3,building society savings,31,none,own,2,1,2,yes,yes,unskilled resident
unknown,60,repaid,car (new),6527,unknown,1 - 4 yrs,4,single male,none,4,unknown/none,34,none,for free,1,1,2,yes,yes,skilled employee
> 200 DM,10,critical,radio/tv,1347,unknown,4 - 7 yrs,4,single male,none,2,building society savings,27,none,own,2,1,1,yes,yes,skilled employee
1 - 200 DM,36,delayed,car (new),2862,101 - 500 DM,> 7 yrs,4,single male,none,3,unknown/none,30,none,for free,1,1,1,none,yes,skilled employee
unknown,9,repaid,radio/tv,2753,101 - 500 DM,> 7 yrs,3,single male,co-applicant,4,other,35,none,own,1,1,1,yes,yes,skilled employee
< 0 DM,12,repaid,car (new),3651,> 1000 DM,1 - 4 yrs,1,single male,none,3,building society savings,31,none,own,1,1,2,none,yes,skilled employee
< 0 DM,15,critical,furniture,975,< 100 DM,1 - 4 yrs,2,divorced male,none,3,building society savings,25,none,own,2,1,1,none,yes,skilled employee
1 - 200 DM,15,repaid,repairs,2631,101 - 500 DM,1 - 4 yrs,3,female,none,2,real estate,25,none,own,1,1,1,none,yes,unskilled resident
1 - 200 DM,24,repaid,radio/tv,2896,101 - 500 DM,0 - 1 yrs,2,single male,none,1,other,29,none,own,1,1,1,none,yes,skilled employee
< 0 DM,6,critical,car (new),4716,unknown,0 - 1 yrs,1,single male,none,3,real estate,44,none,own,2,1,2,none,yes,unskilled resident
unknown,24,repaid,radio/tv,2284,< 100 DM,4 - 7 yrs,4,single male,none,2,other,28,none,own,1,1,1,yes,yes,skilled employee
unknown,6,repaid,car (used),1236,501 - 1000 DM,1 - 4 yrs,2,single male,none,4,building society savings,50,none,rent,1,1,1,none,yes,skilled employee
1 - 200 DM,12,repaid,radio/tv,1103,< 100 DM,4 - 7 yrs,4,single male,guarantor,3,real estate,29,none,own,2,1,1,none,no,skilled employee
unknown,12,critical,car (new),926,< 100 DM,unemployed,1,female,none,2,building society savings,38,none,own,1,1,1,none,yes,unemployed non-resident
unknown,18,critical,radio/tv,1800,< 100 DM,1 - 4 yrs,4,single male,none,2,other,24,none,own,2,1,1,none,yes,skilled employee
> 200 DM,15,repaid,education,1905,< 100 DM,> 7 yrs,4,single male,none,4,other,40,none,rent,1,1,1,yes,yes,mangement self-employed
unknown,12,repaid,furniture,1123,501 - 1000 DM,1 - 4 yrs,4,female,none,4,other,29,none,rent,1,2,1,none,yes,unskilled resident
< 0 DM,48,critical,car (used),6331,< 100 DM,> 7 yrs,4,single male,none,4,unknown/none,46,none,for free,2,2,1,yes,yes,skilled employee
> 200 DM,24,repaid,radio/tv,1377,101 - 500 DM,> 7 yrs,4,female,none,2,unknown/none,47,none,for free,1,1,1,yes,yes,skilled employee
1 - 200 DM,30,delayed,business,2503,101 - 500 DM,> 7 yrs,4,single male,none,2,building society savings,41,stores,own,2,1,1,none,yes,skilled employee
1 - 200 DM,27,repaid,business,2528,< 100 DM,0 - 1 yrs,4,female,none,1,building society savings,32,none,own,1,1,2,yes,yes,skilled employee
unknown,15,repaid,car (new),5324,501 - 1000 DM,> 7 yrs,1,female,none,4,unknown/none,35,none,for free,1,1,1,none,yes,skilled employee
1 - 200 DM,48,repaid,car (new),6560,101 - 500 DM,4 - 7 yrs,3,single male,none,2,building society savings,24,none,own,1,2,1,none,yes,skilled employee
1 - 200 DM,12,fully repaid,furniture,2969,< 100 DM,0 - 1 yrs,4,female,none,3,building society savings,25,none,rent,2,2,1,none,yes,skilled employee
1 - 200 DM,9,repaid,radio/tv,1206,< 100 DM,> 7 yrs,4,female,none,4,real estate,25,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,9,repaid,radio/tv,2118,< 100 DM,1 - 4 yrs,2,single male,none,2,real estate,37,none,own,1,1,2,none,yes,unskilled resident
unknown,18,critical,radio/tv,629,501 - 1000 DM,> 7 yrs,4,single male,none,3,building society savings,32,bank,own,2,1,1,yes,yes,mangement self-employed
< 0 DM,6,fully repaid this bank,education,1198,< 100 DM,> 7 yrs,4,female,none,4,unknown/none,35,none,for free,1,2,1,none,yes,skilled employee
unknown,21,repaid,car (used),2476,unknown,> 7 yrs,4,single male,none,4,real estate,46,none,own,1,1,1,yes,yes,mangement self-employed
< 0 DM,9,critical,radio/tv,1138,< 100 DM,1 - 4 yrs,4,single male,none,4,real estate,25,none,own,2,1,1,none,yes,unskilled resident
1 - 200 DM,60,repaid,car (new),14027,< 100 DM,4 - 7 yrs,4,single male,none,2,unknown/none,27,none,own,1,2,1,yes,yes,mangement self-employed
unknown,30,critical,car (used),7596,unknown,> 7 yrs,1,single male,none,4,other,63,none,own,2,1,1,none,yes,skilled employee
unknown,30,critical,radio/tv,3077,unknown,> 7 yrs,3,single male,none,2,other,40,none,own,2,1,2,yes,yes,skilled employee
unknown,18,repaid,radio/tv,1505,< 100 DM,1 - 4 yrs,4,single male,none,2,unknown/none,32,none,for free,1,1,1,yes,yes,mangement self-employed
> 200 DM,24,critical,radio/tv,3148,unknown,1 - 4 yrs,3,single male,none,2,other,31,none,own,2,1,1,yes,yes,skilled employee
1 - 200 DM,20,fully repaid,car (used),6148,101 - 500 DM,> 7 yrs,3,married male,none,4,other,31,bank,own,2,1,1,yes,yes,skilled employee
> 200 DM,9,fully repaid,radio/tv,1337,< 100 DM,0 - 1 yrs,4,single male,none,2,other,34,none,own,2,2,1,yes,yes,mangement self-employed
1 - 200 DM,6,fully repaid this bank,education,433,> 1000 DM,0 - 1 yrs,4,female,none,2,building society savings,24,bank,rent,1,2,2,none,yes,skilled employee
< 0 DM,12,repaid,car (new),1228,< 100 DM,1 - 4 yrs,4,female,none,2,real estate,24,none,own,1,2,1,none,yes,unskilled resident
1 - 200 DM,9,repaid,radio/tv,790,501 - 1000 DM,1 - 4 yrs,4,female,none,3,real estate,66,none,own,1,1,1,none,yes,unskilled resident
unknown,27,repaid,car (new),2570,< 100 DM,1 - 4 yrs,3,female,none,3,real estate,21,none,rent,1,2,1,none,yes,skilled employee
unknown,6,critical,car (new),250,> 1000 DM,1 - 4 yrs,2,female,none,2,real estate,41,bank,own,2,1,1,none,yes,unskilled resident
unknown,15,critical,radio/tv,1316,501 - 1000 DM,1 - 4 yrs,2,married male,none,2,building society savings,47,none,own,2,1,1,none,yes,unskilled resident
< 0 DM,18,repaid,radio/tv,1882,< 100 DM,1 - 4 yrs,4,female,none,4,other,25,bank,rent,2,2,1,none,yes,skilled employee
1 - 200 DM,48,fully repaid this bank,business,6416,< 100 DM,> 7 yrs,4,female,none,3,unknown/none,59,none,rent,1,2,1,none,yes,skilled employee
> 200 DM,24,critical,business,1275,> 1000 DM,1 - 4 yrs,2,divorced male,none,4,real estate,36,none,own,2,1,1,yes,yes,skilled employee
1 - 200 DM,24,delayed,radio/tv,6403,< 100 DM,0 - 1 yrs,1,single male,none,2,other,33,none,own,1,1,1,none,yes,skilled employee
< 0 DM,24,repaid,radio/tv,1987,< 100 DM,1 - 4 yrs,2,single male,none,4,real estate,21,none,rent,1,2,2,none,yes,unskilled resident
1 - 200 DM,8,repaid,radio/tv,760,< 100 DM,4 - 7 yrs,4,female,guarantor,2,real estate,44,none,own,1,1,1,none,yes,unskilled resident
unknown,24,repaid,car (used),2603,> 1000 DM,1 - 4 yrs,2,female,none,4,other,28,none,rent,1,1,1,yes,yes,skilled employee
unknown,4,critical,car (new),3380,< 100 DM,4 - 7 yrs,1,female,none,1,real estate,37,none,own,1,1,2,none,yes,skilled employee
1 - 200 DM,36,fully repaid this bank,domestic appliances,3990,unknown,0 - 1 yrs,3,female,none,2,unknown/none,29,bank,own,1,1,1,none,yes,unemployed non-resident
1 - 200 DM,24,repaid,car (used),11560,< 100 DM,1 - 4 yrs,1,female,none,4,other,23,none,rent,2,2,1,none,yes,mangement self-employed
< 0 DM,18,repaid,car (new),4380,101 - 500 DM,1 - 4 yrs,3,single male,none,4,other,35,none,own,1,1,2,yes,yes,unskilled resident
unknown,6,critical,car (new),6761,< 100 DM,4 - 7 yrs,1,single male,none,3,unknown/none,45,none,own,2,1,2,yes,yes,mangement self-employed
1 - 200 DM,30,fully repaid,business,4280,101 - 500 DM,1 - 4 yrs,4,female,none,4,other,26,none,rent,2,2,1,none,yes,unskilled resident
< 0 DM,24,fully repaid this bank,car (new),2325,101 - 500 DM,4 - 7 yrs,2,single male,none,3,other,32,bank,own,1,1,1,none,yes,skilled employee
1 - 200 DM,10,fully repaid this bank,radio/tv,1048,< 100 DM,1 - 4 yrs,4,single male,none,4,real estate,23,stores,own,1,1,1,none,yes,unskilled resident
unknown,21,repaid,radio/tv,3160,unknown,> 7 yrs,4,single male,none,3,building society savings,41,none,own,1,1,1,yes,yes,skilled employee
< 0 DM,24,fully repaid this bank,furniture,2483,501 - 1000 DM,1 - 4 yrs,4,single male,none,4,real estate,22,stores,own,1,1,1,yes,yes,skilled employee
< 0 DM,39,critical,furniture,14179,unknown,4 - 7 yrs,4,single male,none,4,building society savings,30,none,own,2,1,1,yes,yes,mangement self-employed
< 0 DM,13,critical,business,1797,< 100 DM,0 - 1 yrs,3,single male,none,1,building society savings,28,bank,own,2,1,1,none,yes,unskilled resident
< 0 DM,15,repaid,car (new),2511,< 100 DM,unemployed,1,female,none,4,other,23,none,rent,1,1,1,none,yes,skilled employee
< 0 DM,12,repaid,car (new),1274,< 100 DM,0 - 1 yrs,3,female,none,1,real estate,37,none,own,1,2,1,none,yes,unskilled resident
unknown,21,repaid,car (used),5248,unknown,1 - 4 yrs,1,single male,none,3,other,26,none,own,1,1,1,none,yes,skilled employee
unknown,15,repaid,car (used),3029,< 100 DM,4 - 7 yrs,2,single male,none,2,other,33,none,own,1,1,1,none,yes,skilled employee
< 0 DM,6,repaid,furniture,428,< 100 DM,> 7 yrs,2,female,none,1,building society savings,49,bank,own,1,1,1,yes,yes,skilled employee
